State,Year,Crop,Temperature,Rainfall,Humidity,Soil_Moisture,Crop_Yield
Andhra Pradesh,2010,Rice,30.993428306022466,958.5207096486446,79.2797576724562,29.966462104925917,2929.7539875829993
Andhra Pradesh,2010,Wheat,29.53172608610164,1473.7638446522174,50.823379771832094,39.247746304049855,3030.2304187458726
Andhra Pradesh,2010,Maize,29.061051228130097,1162.7680130757894,57.27299868828403,19.585112746335845,2572.58868146981
Andhra Pradesh,2010,Sorghum,26.173439510684403,482.5246502460901,74.47411578889518,18.487346516301045,1831.3137412277083
Andhra Pradesh,2010,Pulses,28.183951848957577,576.3088895994126,68.24279936868143,34.62939903482534,1820.2584614063771
Andhra Pradesh,2011,Rice,27.150503627573087,836.6851826424452,74.30179407605753,19.263103092182288,3033.27677691296
Andhra Pradesh,2011,Wheat,28.79872262016239,912.491875062017,77.36932106048627,26.003812343490033,2795.9508325786196
Andhra Pradesh,2011,Maize,27.8845781420882,1246.7634736309567,62.46844304357644,28.00170052944527,2133.7469050086934
Andhra Pradesh,2011,Sorghum,27.34362790220314,1059.058370760737,88.78338511058234,34.37832058402786,2221.5399739986233
Andhra Pradesh,2011,Pulses,30.34273656237994,965.3055152835278,65.54709158757927,21.783725794347397,1709.6688913232133
Andhra Pradesh,2012,Rice,29.078722458080424,1317.1366678656748,61.23738038749523,28.567402078956214,3097.2251908184385
Andhra Pradesh,2012,Wheat,29.229835439167367,796.9233999082123,50.220884684944096,35.386535711370854,2983.5028866522603
Andhra Pradesh,2012,Maize,32.0619990449919,1279.3840357348595,80.85081386743784,16.85111629335226,2248.2347430332084
Andhra Pradesh,2012,Sorghum,29.381575248297573,1099.3790294210692,63.23592099410597,16.588958757150593,2292.6635381367078
Andhra Pradesh,2012,Pulses,27.787330051987944,641.1380127757988,79.18424713352256,30.93893678388033,1778.3969635258998
Andhra Pradesh,2013,Rice,32.00706579578405,1108.4908075142903,80.4314019446759,29.031929939237408,2806.464073618463
Andhra Pradesh,2013,Wheat,29.928347921780098,1469.3930967442018,70.90931317527976,25.68852545896374,2826.1141204714513
Andhra Pradesh,2013,Maize,29.401985299068265,1027.5282329606507,86.30265895704372,21.232305728721872,1903.7293256197322
Andhra Pradesh,2013,Sorghum,32.95578808948303,844.5189345179058,59.1519266196649,16.924497745719826,1757.4519191320437
Andhra Pradesh,2013,Pulses,28.996485912830927,1274.6206353106222,82.14688307596458,19.664251472150895,1898.6253328979053
Andhra Pradesh,2014,Rice,30.19415509869608,1290.5934971598667,82.2976062065625,37.40228249808733,2789.384071836794
Andhra Pradesh,2014,Wheat,29.344675706804463,882.3675540603527,82.72059063689971,36.51826458140859,2360.9455155603646
Andhra Pradesh,2014,Maize,30.01022691328492,929.623859987456,66.69644012595116,20.552695261768257,2397.185645041969
Andhra Pradesh,2014,Sorghum,28.39544546155676,951.6142865001973,70.75162486973464,32.57547397237944,2121.2152570443614
Andhra Pradesh,2014,Pulses,30.51510078144553,977.6662252701499,88.49789179768445,21.294557395634104,1224.3686354102874
Andhra Pradesh,2015,Rice,29.946972249101567,1018.069062982308,52.05915004999957,21.966161605915286,3738.972633745586
Andhra Pradesh,2015,Wheat,29.615278070437753,1090.4642027000837,55.795794883648924,27.236319006939077,3142.846844354506
Andhra Pradesh,2015,Maize,31.503866065373547,1237.309584112914,64.71132530877013,30.807645764839485,2227.1837635615784
Andhra Pradesh,2015,Sorghum,31.17371418760054,1657.1366877429937,53.61159080217633,35.88256238973095,1702.8391024607936
Andhra Pradesh,2015,Pulses,28.867404540794457,1029.8954095262923,77.1025744736913,15.414695723196404,1648.9573037651403
Andhra Pradesh,2016,Rice,26.898673137867736,1020.5688924418082,75.80691161637799,19.359160725124788,2724.172729729859
Andhra Pradesh,2016,Wheat,33.099868810035076,765.0240122991289,86.98774473114251,36.93348383452452,2703.3815451382975
Andhra Pradesh,2016,Maize,31.62703443473934,630.7407050698134,82.68888800804864,28.880020289986557,2017.7550296316317
Andhra Pradesh,2016,Sorghum,30.36926771706461,1077.964838274527,63.56119164194803,23.73023936531652,2234.546861533193
